[2022-03-10 15:57:09,056][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 15:57:12,444][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 15:57:15,825][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 15:57:19,182][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 15:57:22,633][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 15:57:26,012][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 15:57:29,446][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 15:57:32,898][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 15:57:36,350][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 15:57:39,730][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 15:57:43,147][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 15:57:46,507][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 15:57:49,834][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 15:57:53,182][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 15:57:56,584][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 15:57:59,951][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 15:58:03,407][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 15:58:06,867][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 15:58:10,355][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 15:58:13,814][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 15:58:17,269][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 15:58:20,755][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 15:58:24,197][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 15:58:27,709][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 15:58:31,167][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
