[2022-03-10 14:01:15,333][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 14:01:15,950][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 14:01:16,440][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 14:01:16,898][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 14:01:17,381][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 14:01:17,887][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 14:01:18,413][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 14:01:18,949][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 14:01:19,466][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 14:01:20,000][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 14:01:20,531][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 14:01:21,018][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 14:01:21,473][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 14:01:21,945][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 14:01:22,468][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 14:01:23,004][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 14:01:23,530][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 14:01:24,057][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 14:01:24,591][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 14:01:25,123][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 14:01:25,648][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 14:01:26,159][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 14:01:26,706][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 14:01:27,371][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 14:01:28,005][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 14:01:28,622][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 14:01:29,209][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 14:01:29,838][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 14:01:30,449][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 14:01:31,088][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 14:01:31,722][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 14:01:32,337][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 14:01:32,900][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
