[2022-03-10 16:53:13,243][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:53:23,887][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:53:34,576][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:53:45,512][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:53:56,384][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:54:07,421][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:54:19,466][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:54:31,237][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:54:43,927][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:54:55,952][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:55:08,376][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:55:19,793][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:55:31,432][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:55:43,323][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:55:55,423][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:56:07,174][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:56:18,593][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:56:30,049][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:56:41,592][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:56:53,053][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:57:04,358][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:57:16,010][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:57:27,903][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:57:39,686][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:57:51,103][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:58:02,675][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:58:14,470][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:58:26,195][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:58:37,824][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:58:49,234][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:59:01,032][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:59:13,258][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:59:25,265][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:59:36,901][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:59:48,815][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:00:00,629][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:00:12,309][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:00:23,694][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:00:35,279][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:00:47,033][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:00:58,709][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:01:10,085][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:01:21,530][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:01:33,231][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:01:44,919][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:01:56,478][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:02:07,800][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:02:19,352][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:02:30,945][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:02:42,603][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:02:53,989][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:03:05,323][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:03:16,173][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:03:26,562][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:03:36,818][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:03:47,098][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:03:57,360][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:04:07,595][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:04:17,840][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:04:28,121][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:04:38,557][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:04:48,993][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:04:59,241][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:05:09,463][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:05:19,695][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:05:29,930][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:05:40,167][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:05:50,418][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:06:00,680][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:06:11,154][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:06:21,468][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:06:31,652][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:06:41,886][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:06:52,065][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:07:02,237][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:07:12,456][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:07:22,657][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:07:32,845][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 17:07:43,037][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
