[2022-03-10 15:59:10,844][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 15:59:27,391][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 15:59:44,985][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:00:02,113][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:00:18,985][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:00:36,788][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:00:56,076][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:01:16,251][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:01:36,482][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:01:57,572][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:02:19,180][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:02:39,943][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:03:00,567][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:03:20,771][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:03:41,385][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:04:01,453][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:04:20,343][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:04:39,201][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:04:58,261][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:05:17,461][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:05:36,091][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:05:54,800][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:06:13,546][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:06:32,558][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 16:06:51,673][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
