[2022-03-10 19:02:50,639][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:02:51,780][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:02:52,873][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:02:54,020][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:02:55,145][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:02:56,261][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:02:57,350][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:02:58,505][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:02:59,884][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:03:01,018][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:03:02,155][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:03:03,290][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:03:04,447][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:03:05,657][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:03:06,905][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:03:08,119][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:03:09,372][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:03:10,612][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:03:11,859][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:03:13,133][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:03:14,390][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:03:15,693][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:03:16,968][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:03:18,287][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:03:19,720][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:03:21,022][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:03:22,610][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:03:23,941][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:03:25,194][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:03:26,489][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:03:27,746][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:03:29,019][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:03:30,313][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:03:31,537][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:03:32,786][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:03:34,054][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:03:35,399][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:03:36,789][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:03:38,137][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:03:39,479][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 19:03:40,809][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
