Wall time,Step,Value
1648153001.2959301,2002,-346.9487609863281
1648153008.32367,4002,-290.3206787109375
1648153015.1223402,6002,-261.1190185546875
1648153022.0376902,8002,-254.74256896972656
1648153029.310941,10002,-250.76051330566406
1648153036.5424619,12002,-240.57859802246094
1648153043.543382,14002,-234.74037170410156
1648153050.821172,16002,-234.71481323242188
1648153057.997941,18002,-227.74771118164062
1648153065.696306,20002,-215.24459838867188
1648153074.9923341,22002,-212.0486602783203
1648153084.239617,24002,-209.51336669921875
1648153093.3302479,26002,-202.89598083496094
1648153102.758493,28002,-202.15679931640625
1648153111.724871,30002,-200.82565307617188
1648153120.741484,32002,-198.96487426757812
1648153129.409996,34002,-197.04261779785156
1648153138.821722,36002,-196.1344757080078
1648153147.570587,38002,-194.95921325683594
1648153155.775532,40002,-194.59866333007812
1648153164.033081,42002,-193.18214416503906
1648153172.5930932,44002,-192.1629180908203
1648153180.94333,46002,-191.2327117919922
1648153190.209795,48002,-190.07586669921875
1648153198.583785,50002,-189.00502014160156
1648153207.376527,52002,-187.9953155517578
1648153215.130832,54002,-187.91244506835938
1648153222.910648,56002,-186.65318298339844
1648153231.953652,58002,-185.5059356689453
1648153240.6151428,60002,-184.16409301757812
1648153249.0014348,62002,-182.06216430664062
1648153256.892101,64002,-181.55245971679688
1648153265.77341,66002,-180.54551696777344
1648153273.7064161,68002,-179.43939208984375
1648153283.346838,70002,-178.0589141845703
1648153292.704413,72002,-170.61474609375
1648153301.2657979,74002,-169.5840301513672
1648153308.91886,76002,-167.01905822753906
1648153317.9129841,78002,-166.02572631835938
1648153325.433561,80002,-158.9598388671875
1648153333.694766,82002,-154.0461883544922
1648153342.2604978,84002,-147.92111206054688
1648153350.274367,86002,-146.10684204101562
1648153358.410605,88002,-142.62452697753906
1648153366.6987362,90002,-138.87132263183594
1648153375.466953,92002,-134.98098754882812
1648153383.610472,94002,-131.9309844970703
1648153391.445392,96002,-128.2838134765625
1648153399.394023,98002,-122.85797119140625
1648153406.862068,100002,-111.8912353515625
1648153414.4552479,102002,-109.17042541503906
1648153422.8621912,104002,-103.36442565917969
1648153430.747016,106002,-102.148193359375
1648153438.115402,108002,-97.02767181396484
1648153445.904315,110002,-91.05987548828125
1648153453.8375502,112002,-88.92076873779297
1648153461.86228,114002,-85.69624328613281
1648153469.532326,116002,-84.35270690917969
1648153477.7561102,118002,-78.2846450805664
1648153486.496591,120002,-75.8458251953125
1648153493.79126,122002,-70.47948455810547
1648153502.068477,124002,-70.9840087890625
1648153509.7498791,126002,-67.59681701660156
1648153517.159494,128002,-57.45201110839844
1648153525.809694,130002,-54.55925369262695
1648153534.4141052,132002,-50.82123947143555
1648153541.9839869,134002,-45.55898666381836
1648153549.746073,136002,-36.493465423583984
1648153558.295975,138002,-34.066551208496094
1648153567.174635,140002,-31.525714874267578
1648153574.396509,142002,-27.176494598388672
1648153581.955866,144002,-29.140933990478516
1648153590.542232,146002,-27.961259841918945
1648153599.42827,148002,-28.242158889770508
1648153607.175991,150002,-23.818693161010742
1648153615.3851311,152002,-23.576171875
1648153623.104532,154002,-16.007925033569336
1648153631.277086,156002,-17.439462661743164
1648153638.9251132,158002,-13.249488830566406
1648153646.4099991,160002,-6.831192970275879
1648153654.1235452,162002,-5.758261680603027
1648153662.1174898,164002,-8.366336822509766
1648153670.111927,166002,-9.415430068969727
1648153677.820725,168002,-7.982216835021973
1648153686.5798988,170002,-7.7379326820373535
1648153695.0891678,172002,-9.493082046508789
1648153702.776258,174002,-6.315488815307617
1648153711.3700118,176002,-6.095183372497559
1648153719.944049,178002,-5.278327941894531
1648153727.509006,180002,-3.4258291721343994
1648153735.58713,182002,0.2567625343799591
1648153743.906128,184002,0.8970867395401001
1648153751.3713439,186002,6.956090450286865
1648153759.864418,188002,11.406332015991211
1648153768.851191,190002,10.867044448852539
1648153776.7341871,192002,11.431246757507324
1648153783.9534569,194002,17.39208221435547
1648153791.283225,196002,27.189321517944336
1648153799.82675,198002,27.13433837890625
1648153807.443903,200002,24.29662322998047
1648153814.880963,202002,22.610126495361328
1648153823.82067,204002,23.149173736572266
1648153832.196963,206002,22.821279525756836
1648153841.013469,208002,20.276723861694336
1648153849.711116,210002,18.262617111206055
1648153857.6577358,212002,16.105337142944336
1648153865.918337,214002,11.59252643585205
1648153875.170749,216002,9.571640968322754
1648153883.680206,218002,10.126676559448242
1648153892.346578,220002,9.508406639099121
1648153899.714897,222002,15.646077156066895
1648153908.634932,224002,12.884273529052734
1648153916.0068722,226002,11.741783142089844
1648153923.848609,228002,10.41274642944336
1648153931.649934,230002,10.829301834106445
1648153940.071646,232002,8.334892272949219
1648153947.011692,234002,15.748940467834473
1648153955.0444338,236002,10.968147277832031
1648153963.4525719,238002,8.815712928771973
1648153971.004839,240002,12.57870101928711
1648153979.2380412,242002,10.202779769897461
1648153988.172512,244002,9.394513130187988
1648153996.58,246002,5.640055179595947
1648154004.867168,248002,8.740124702453613
1648154013.23635,250002,8.537567138671875
1648154022.337006,252002,8.17206859588623
1648154029.9452622,254002,6.045668601989746
1648154037.351735,256002,6.137674808502197
1648154045.130823,258002,7.220355033874512
1648154053.349056,260002,14.196548461914062
1648154061.346451,262002,13.590234756469727
1648154069.051091,264002,10.921247482299805
1648154077.483982,266002,11.191317558288574
1648154085.1990778,268002,12.00737476348877
1648154092.7342348,270002,11.96599006652832
1648154101.172637,272002,16.520957946777344
1648154108.442189,274002,21.584178924560547
1648154115.8274078,276002,19.763925552368164
1648154123.321876,278002,24.184009552001953
1648154130.571149,280002,23.126373291015625
1648154137.676828,282002,29.018930435180664
1648154145.622815,284002,23.658472061157227
1648154152.57896,286002,27.35723876953125
1648154159.641082,288002,30.72384262084961
1648154167.2605052,290002,33.80891036987305
1648154174.228628,292002,43.318809509277344
1648154181.5228858,294002,40.898155212402344
1648154188.982037,296002,42.34056854248047
1648154196.075663,298002,50.85503005981445
1648154203.027712,300002,49.48533630371094
1648154209.910499,302002,52.72760009765625
1648154217.7662458,304002,51.7452278137207
1648154225.068158,306002,51.72264862060547
1648154232.420427,308002,55.325801849365234
1648154239.341414,310002,58.641597747802734
1648154247.456936,312002,58.83852767944336
1648154255.89455,314002,62.19550704956055
1648154262.7597702,316002,52.990684509277344
1648154269.733109,318002,56.96277618408203
1648154276.872926,320002,62.214412689208984
1648154284.641121,322002,61.98121643066406
1648154291.65753,324002,61.432621002197266
1648154299.426023,326002,67.66403198242188
1648154306.798421,328002,64.98701477050781
1648154314.245785,330002,67.22171020507812
1648154321.16609,332002,70.59416198730469
1648154328.096816,334002,78.20769500732422
1648154334.996126,336002,83.80348205566406
1648154342.1252449,338002,86.62410736083984
1648154349.000606,340002,87.18344116210938
1648154355.9009159,342002,88.46674346923828
1648154363.159814,344002,88.32918548583984
