Wall time,Step,Value
1648842925.264776,2002,-419.28521728515625
1648842931.278636,4002,-335.564697265625
1648842937.6402051,6002,-274.34881591796875
1648842944.002559,8002,-278.9261779785156
1648842950.727113,10002,-272.50274658203125
1648842956.8919349,12002,-251.1433563232422
1648842964.369645,14002,-245.6332550048828
1648842969.9452999,16002,-235.8909149169922
1648842977.341791,18002,-222.96841430664062
1648842983.7755651,20002,-223.23338317871094
1648842990.6140711,22002,-220.64224243164062
1648842997.709801,24002,-213.58969116210938
1648843005.280343,26002,-211.75592041015625
1648843014.104705,28002,-209.9466552734375
1648843024.156825,30002,-206.34033203125
1648843031.851913,32002,-204.8887481689453
1648843038.9228532,34002,-203.2242431640625
1648843045.646752,36002,-201.5557861328125
1648843052.903927,38002,-199.4969482421875
1648843059.824165,40002,-198.2247314453125
1648843066.762694,42002,-198.19061279296875
1648843073.394728,44002,-197.31922912597656
1648843080.289105,46002,-197.74501037597656
1648843088.446445,48002,-196.99195861816406
1648843096.3048892,50002,-195.49253845214844
1648843103.654778,52002,-193.74020385742188
1648843110.126527,54002,-195.34800720214844
1648843116.7084448,56002,-194.83982849121094
1648843124.0186062,58002,-192.20343017578125
1648843131.595264,60002,-189.9884033203125
1648843139.7866838,62002,-188.73062133789062
1648843146.7748532,64002,-187.18017578125
1648843154.352811,66002,-185.50836181640625
1648843161.6816409,68002,-184.49986267089844
1648843168.7067,70002,-182.96932983398438
1648843176.63569,72002,-181.92425537109375
1648843184.806758,74002,-180.3448486328125
1648843193.183721,76002,-178.4746551513672
1648843200.172011,78002,-179.25860595703125
1648843207.683624,80002,-178.5531463623047
1648843216.0118122,82002,-172.95745849609375
1648843224.6007261,84002,-171.95361328125
1648843234.1829782,86002,-169.4502716064453
1648843242.3402839,88002,-170.83572387695312
1648843251.5165162,90002,-169.59857177734375
1648843260.19896,92002,-168.51773071289062
1648843268.9600189,94002,-167.70272827148438
1648843276.6420422,96002,-167.34043884277344
1648843285.9297101,98002,-166.4256134033203
1648843296.123969,100002,-165.14309692382812
1648843305.016008,102002,-161.4334259033203
1648843313.66287,104002,-158.15940856933594
1648843321.7760131,106002,-161.0123748779297
1648843329.750863,108002,-161.99266052246094
1648843337.639431,110002,-158.4782257080078
1648843345.4448798,112002,-155.5680694580078
1648843353.882996,114002,-153.4322052001953
1648843362.954993,116002,-152.34805297851562
1648843371.846994,118002,-148.15394592285156
1648843379.427095,120002,-138.96942138671875
1648843387.354719,122002,-134.89141845703125
1648843394.648632,124002,-128.4889678955078
1648843403.135734,126002,-123.50504302978516
1648843412.719428,128002,-118.75341033935547
